2026-09-20T09:41:49.211Z VTTY: Console port: waiting connection on tcp port 5014 for protocol IPv4 (FD 11)
2026-09-20T09:41:49.215Z slot0: C/H/S settings = 64/4/32
2026-09-20T09:41:54.748Z slot1: C/H/S settings = 0/4/32
2026-09-20T09:41:48.951Z C3745_BOOT: starting instance (CPU0 PC=0xffffffffbfc00000,idle_pc=0x60aa311c,JIT on)
2026-09-20T09:41:48.951Z CPU0: CPU_STATE: Starting CPU (old state=2)...
2026-09-20T09:41:49.136Z ROM: Microcode has started.
2026-09-20T09:41:49.144Z ROM: trying to read bootvar 'WARM_REBOOT'
2026-09-20T09:41:49.146Z CPU0: IO_FPGA: write to unknown addr 0x30, value=0x0, pc=0xffffffff80a99108 (size=1)
2026-09-20T09:41:49.146Z CPU0: IO_FPGA: read from unknown addr 0x30, pc=0xffffffff80a9911c (size=1)
2026-09-20T09:41:49.222Z CPU0: IO_FPGA: read from unknown addr 0x6, pc=0x6026e48c (size=2)
2026-09-20T09:41:49.224Z CPU0: IO_FPGA: read from unknown addr 0x10000a, pc=0x60275d88 (size=2)
2026-09-20T09:41:49.224Z CPU0: IO_FPGA: write to unknown addr 0x10000a, value=0x0, pc=0x60275d98 (size=2)
2026-09-20T09:41:49.224Z ROM: unhandled syscall 0x00000047 at pc=0x60a9a89c (a1=0x80007db4,a2=0x00000010,a3=0xbfb00000)
2026-09-20T09:41:49.712Z ROM: trying to read bootvar 'RANDOM_NUM'
2026-09-20T09:41:49.728Z CPU0: IO_FPGA: write to unknown addr 0x2e, value=0x20, pc=0x6028323c (size=2)
2026-09-20T09:41:49.729Z CPU0: PCI: write request (data=0x10000000) for device 'gt96100' at pc=0x60286060: bus=0,device=0,function=0,reg=0x94
2026-09-20T09:41:49.729Z CPU0: PCI: write request (data=0x04000000) for device 'gt96100' at pc=0x6028605c: bus=0,device=0,function=0,reg=0x20
2026-09-20T09:41:49.729Z CPU0: PCI: write request (data=0x04000000) for device 'gt96100' at pc=0x60286060: bus=0,device=0,function=0,reg=0x20
2026-09-20T09:41:49.729Z CPU0: PCI: write request (data=0x04000000) for device 'gt96100' at pc=0x6028605c: bus=0,device=0,function=0,reg=0xa0
2026-09-20T09:41:49.729Z CPU0: PCI: write request (data=0x04000000) for device 'gt96100' at pc=0x60286060: bus=0,device=0,function=0,reg=0xa0
2026-09-20T09:41:49.729Z CPU0: PCI: write request (data=0x00000146) for device 'gt96100' at pc=0x6028605c: bus=0,device=0,function=0,reg=0x04
2026-09-20T09:41:49.729Z CPU0: PCI: write request (data=0x00000146) for device 'gt96100' at pc=0x60286060: bus=0,device=0,function=0,reg=0x04
2026-09-20T09:41:49.729Z CPU0: PCI: write request (data=0x00000146) for device 'gt96100' at pc=0x6028605c: bus=0,device=0,function=0,reg=0x84
2026-09-20T09:41:49.729Z CPU0: PCI: write request (data=0x00000146) for device 'gt96100' at pc=0x60286060: bus=0,device=0,function=0,reg=0x84
2026-09-20T09:41:49.729Z CPU0: PCI: write request (data=0x00000007) for device 'gt96100' at pc=0x6028605c: bus=0,device=0,function=0,reg=0x0c
2026-09-20T09:41:49.729Z CPU0: PCI: write request (data=0x00000007) for device 'gt96100' at pc=0x60286060: bus=0,device=0,function=0,reg=0x0c
2026-09-20T09:41:49.729Z CPU0: PCI: write request (data=0x00000007) for device 'gt96100' at pc=0x6028605c: bus=0,device=0,function=0,reg=0x8c
2026-09-20T09:41:49.729Z CPU0: PCI: write request (data=0x00000007) for device 'gt96100' at pc=0x60286060: bus=0,device=0,function=0,reg=0x8c
2026-09-20T09:41:49.729Z CPU0: PCI: write request (data=0x00000000) for device 'gt96100' at pc=0x6028605c: bus=0,device=0,function=0,reg=0x10
2026-09-20T09:41:49.729Z CPU0: PCI: write request (data=0x00000000) for device 'gt96100' at pc=0x60286060: bus=0,device=0,function=0,reg=0x10
2026-09-20T09:41:49.729Z CPU0: PCI: write request (data=0x00000000) for device 'gt96100' at pc=0x6028605c: bus=0,device=0,function=0,reg=0x90
2026-09-20T09:41:49.729Z CPU0: PCI: write request (data=0x00000000) for device 'gt96100' at pc=0x60286060: bus=0,device=0,function=0,reg=0x90
2026-09-20T09:41:49.729Z CPU0: PCI: write request (data=0x20000000) for device 'gt96100' at pc=0x6028605c: bus=0,device=0,function=0,reg=0x14
2026-09-20T09:41:49.729Z CPU0: PCI: write request (data=0x20000000) for device 'gt96100' at pc=0x60286060: bus=0,device=0,function=0,reg=0x14
2026-09-20T09:41:49.729Z CPU0: PCI: write request (data=0x20000000) for device 'gt96100' at pc=0x6028605c: bus=0,device=0,function=0,reg=0x94
2026-09-20T09:41:49.729Z CPU0: PCI: write request (data=0x20000000) for device 'gt96100' at pc=0x60286060: bus=0,device=0,function=0,reg=0x94
2026-09-20T09:41:49.729Z CPU0: PCI: write request (data=0xc0000000) for unknown device at pc=0x6028605c (bus=0,device=0,function=1,reg=0x10).
2026-09-20T09:41:49.729Z CPU0: PCI: write request (data=0xc0000000) for unknown device at pc=0x60286060 (bus=0,device=0,function=1,reg=0x10).
2026-09-20T09:41:49.729Z CPU0: PCI: write request (data=0xc0000000) for unknown device at pc=0x6028605c (bus=0,device=0,function=1,reg=0x90).
2026-09-20T09:41:49.729Z CPU0: PCI: write request (data=0xc0000000) for unknown device at pc=0x60286060 (bus=0,device=0,function=1,reg=0x90).
2026-09-20T09:41:49.729Z CPU0: PCI: write request (data=0xe0000000) for unknown device at pc=0x6028605c (bus=0,device=0,function=1,reg=0x14).
2026-09-20T09:41:49.729Z CPU0: PCI: write request (data=0xe0000000) for unknown device at pc=0x60286060 (bus=0,device=0,function=1,reg=0x14).
2026-09-20T09:41:49.729Z CPU0: PCI: write request (data=0xe0000000) for unknown device at pc=0x6028605c (bus=0,device=0,function=1,reg=0x94).
2026-09-20T09:41:49.729Z CPU0: PCI: write request (data=0xe0000000) for unknown device at pc=0x60286060 (bus=0,device=0,function=1,reg=0x94).
2026-09-20T09:41:49.729Z CPU0: IO_FPGA: write to unknown addr 0x4c, value=0xf000, pc=0x60283880 (size=2)
2026-09-20T09:41:49.729Z CPU0: PCI: read request for device 'ti2050b' at pc=0x60286170: bus=0,device=1,function=0,reg=0x00
2026-09-20T09:41:49.729Z CPU0: PCI: read request for device 'ti2050b' at pc=0x60286174: bus=0,device=1,function=0,reg=0x00
2026-09-20T09:41:49.730Z CPU0: PCI: read request for device 'ti2050b' at pc=0x60286170: bus=0,device=1,function=0,reg=0x40
2026-09-20T09:41:49.730Z CPU0: PCI: read request for device 'ti2050b' at pc=0x60286174: bus=0,device=1,function=0,reg=0x40
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0xffff0000) for device 'ti2050b' at pc=0x6028603c: bus=0,device=1,function=0,reg=0x04
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0xffff0000) for device 'ti2050b' at pc=0x60286048: bus=0,device=1,function=0,reg=0x04
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x0000f810) for device 'ti2050b' at pc=0x6028603c: bus=0,device=1,function=0,reg=0x0c
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x0000f810) for device 'ti2050b' at pc=0x60286048: bus=0,device=1,function=0,reg=0x0c
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x00040100) for device 'ti2050b' at pc=0x6028603c: bus=0,device=1,function=0,reg=0x18
2026-09-20T09:41:49.730Z PCI: PCI bridge 0,1,0 -> pri: 00, sec: 01, sub: 04
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x00040100) for device 'ti2050b' at pc=0x60286048: bus=0,device=1,function=0,reg=0x18
2026-09-20T09:41:49.730Z PCI: PCI bridge 0,1,0 -> pri: 00, sec: 01, sub: 04
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x02801f00) for device 'ti2050b' at pc=0x6028603c: bus=0,device=1,function=0,reg=0x1c
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x02801f00) for device 'ti2050b' at pc=0x60286048: bus=0,device=1,function=0,reg=0x1c
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x4d704d00) for device 'ti2050b' at pc=0x6028603c: bus=0,device=1,function=0,reg=0x20
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x4d704d00) for device 'ti2050b' at pc=0x60286048: bus=0,device=1,function=0,reg=0x20
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x00014d01) for device 'ti2050b' at pc=0x6028603c: bus=0,device=1,function=0,reg=0x24
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x00014d01) for device 'ti2050b' at pc=0x60286048: bus=0,device=1,function=0,reg=0x24
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x00200020) for device 'ti2050b' at pc=0x6028603c: bus=0,device=1,function=0,reg=0x30
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x00200020) for device 'ti2050b' at pc=0x60286048: bus=0,device=1,function=0,reg=0x30
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x03000000) for device 'ti2050b' at pc=0x6028603c: bus=0,device=1,function=0,reg=0x3c
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x03000000) for device 'ti2050b' at pc=0x60286048: bus=0,device=1,function=0,reg=0x3c
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x6028603c: bus=0,device=1,function=0,reg=0x40
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x60286048: bus=0,device=1,function=0,reg=0x40
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x6028603c: bus=0,device=1,function=0,reg=0x64
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x60286048: bus=0,device=1,function=0,reg=0x64
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x6028603c: bus=0,device=1,function=0,reg=0x68
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x60286048: bus=0,device=1,function=0,reg=0x68
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x00000007) for device 'ti2050b' at pc=0x6028603c: bus=0,device=1,function=0,reg=0x04
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x00000007) for device 'ti2050b' at pc=0x60286048: bus=0,device=1,function=0,reg=0x04
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x00000001) for device 'ti2050b' at pc=0x6028603c: bus=0,device=1,function=0,reg=0xf0
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x00000001) for device 'ti2050b' at pc=0x60286048: bus=0,device=1,function=0,reg=0xf0
2026-09-20T09:41:49.730Z CPU0: PCI: read request for device 'ti2050b' at pc=0x60286170: bus=0,device=2,function=0,reg=0x00
2026-09-20T09:41:49.730Z CPU0: PCI: read request for device 'ti2050b' at pc=0x60286174: bus=0,device=2,function=0,reg=0x00
2026-09-20T09:41:49.730Z CPU0: PCI: read request for device 'ti2050b' at pc=0x60286170: bus=0,device=2,function=0,reg=0x40
2026-09-20T09:41:49.730Z CPU0: PCI: read request for device 'ti2050b' at pc=0x60286174: bus=0,device=2,function=0,reg=0x40
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0xffff0000) for device 'ti2050b' at pc=0x6028603c: bus=0,device=2,function=0,reg=0x04
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0xffff0000) for device 'ti2050b' at pc=0x60286048: bus=0,device=2,function=0,reg=0x04
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x0000f810) for device 'ti2050b' at pc=0x6028603c: bus=0,device=2,function=0,reg=0x0c
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x0000f810) for device 'ti2050b' at pc=0x60286048: bus=0,device=2,function=0,reg=0x0c
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x00080500) for device 'ti2050b' at pc=0x6028603c: bus=0,device=2,function=0,reg=0x18
2026-09-20T09:41:49.730Z PCI: PCI bridge 0,2,0 -> pri: 00, sec: 05, sub: 08
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x00080500) for device 'ti2050b' at pc=0x60286048: bus=0,device=2,function=0,reg=0x18
2026-09-20T09:41:49.730Z PCI: PCI bridge 0,2,0 -> pri: 00, sec: 05, sub: 08
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x02803f20) for device 'ti2050b' at pc=0x6028603c: bus=0,device=2,function=0,reg=0x1c
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x02803f20) for device 'ti2050b' at pc=0x60286048: bus=0,device=2,function=0,reg=0x1c
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x4df04d80) for device 'ti2050b' at pc=0x6028603c: bus=0,device=2,function=0,reg=0x20
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x4df04d80) for device 'ti2050b' at pc=0x60286048: bus=0,device=2,function=0,reg=0x20
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x00014d81) for device 'ti2050b' at pc=0x6028603c: bus=0,device=2,function=0,reg=0x24
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x00014d81) for device 'ti2050b' at pc=0x60286048: bus=0,device=2,function=0,reg=0x24
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x00200020) for device 'ti2050b' at pc=0x6028603c: bus=0,device=2,function=0,reg=0x30
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x00200020) for device 'ti2050b' at pc=0x60286048: bus=0,device=2,function=0,reg=0x30
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x03000000) for device 'ti2050b' at pc=0x6028603c: bus=0,device=2,function=0,reg=0x3c
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x03000000) for device 'ti2050b' at pc=0x60286048: bus=0,device=2,function=0,reg=0x3c
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x6028603c: bus=0,device=2,function=0,reg=0x40
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x60286048: bus=0,device=2,function=0,reg=0x40
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x6028603c: bus=0,device=2,function=0,reg=0x64
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x60286048: bus=0,device=2,function=0,reg=0x64
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x6028603c: bus=0,device=2,function=0,reg=0x68
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x60286048: bus=0,device=2,function=0,reg=0x68
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x00000007) for device 'ti2050b' at pc=0x6028603c: bus=0,device=2,function=0,reg=0x04
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x00000007) for device 'ti2050b' at pc=0x60286048: bus=0,device=2,function=0,reg=0x04
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x00000001) for device 'ti2050b' at pc=0x6028603c: bus=0,device=2,function=0,reg=0xf0
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x00000001) for device 'ti2050b' at pc=0x60286048: bus=0,device=2,function=0,reg=0xf0
2026-09-20T09:41:49.730Z CPU0: PCI: read request for device 'ti2050b' at pc=0x60286170: bus=0,device=3,function=0,reg=0x00
2026-09-20T09:41:49.730Z CPU0: PCI: read request for device 'ti2050b' at pc=0x60286174: bus=0,device=3,function=0,reg=0x00
2026-09-20T09:41:49.730Z CPU0: PCI: read request for device 'ti2050b' at pc=0x60286170: bus=0,device=3,function=0,reg=0x40
2026-09-20T09:41:49.730Z CPU0: PCI: read request for device 'ti2050b' at pc=0x60286174: bus=0,device=3,function=0,reg=0x40
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0xffff0000) for device 'ti2050b' at pc=0x6028603c: bus=0,device=3,function=0,reg=0x04
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0xffff0000) for device 'ti2050b' at pc=0x60286048: bus=0,device=3,function=0,reg=0x04
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x0000f810) for device 'ti2050b' at pc=0x6028603c: bus=0,device=3,function=0,reg=0x0c
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x0000f810) for device 'ti2050b' at pc=0x60286048: bus=0,device=3,function=0,reg=0x0c
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x000c0900) for device 'ti2050b' at pc=0x6028603c: bus=0,device=3,function=0,reg=0x18
2026-09-20T09:41:49.730Z PCI: PCI bridge 0,3,0 -> pri: 00, sec: 09, sub: 12
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x000c0900) for device 'ti2050b' at pc=0x60286048: bus=0,device=3,function=0,reg=0x18
2026-09-20T09:41:49.730Z PCI: PCI bridge 0,3,0 -> pri: 00, sec: 09, sub: 12
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x02809f80) for device 'ti2050b' at pc=0x6028603c: bus=0,device=3,function=0,reg=0x1c
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x02809f80) for device 'ti2050b' at pc=0x60286048: bus=0,device=3,function=0,reg=0x1c
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x4e704e00) for device 'ti2050b' at pc=0x6028603c: bus=0,device=3,function=0,reg=0x20
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x4e704e00) for device 'ti2050b' at pc=0x60286048: bus=0,device=3,function=0,reg=0x20
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x00014e01) for device 'ti2050b' at pc=0x6028603c: bus=0,device=3,function=0,reg=0x24
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x00014e01) for device 'ti2050b' at pc=0x60286048: bus=0,device=3,function=0,reg=0x24
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x00200020) for device 'ti2050b' at pc=0x6028603c: bus=0,device=3,function=0,reg=0x30
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x00200020) for device 'ti2050b' at pc=0x60286048: bus=0,device=3,function=0,reg=0x30
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x03000000) for device 'ti2050b' at pc=0x6028603c: bus=0,device=3,function=0,reg=0x3c
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x03000000) for device 'ti2050b' at pc=0x60286048: bus=0,device=3,function=0,reg=0x3c
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x6028603c: bus=0,device=3,function=0,reg=0x40
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x60286048: bus=0,device=3,function=0,reg=0x40
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x6028603c: bus=0,device=3,function=0,reg=0x64
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x60286048: bus=0,device=3,function=0,reg=0x64
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x6028603c: bus=0,device=3,function=0,reg=0x68
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x60286048: bus=0,device=3,function=0,reg=0x68
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x00000007) for device 'ti2050b' at pc=0x6028603c: bus=0,device=3,function=0,reg=0x04
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x00000007) for device 'ti2050b' at pc=0x60286048: bus=0,device=3,function=0,reg=0x04
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x00000001) for device 'ti2050b' at pc=0x6028603c: bus=0,device=3,function=0,reg=0xf0
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x00000001) for device 'ti2050b' at pc=0x60286048: bus=0,device=3,function=0,reg=0xf0
2026-09-20T09:41:49.730Z CPU0: PCI: read request for device 'ti2050b' at pc=0x60286170: bus=0,device=4,function=0,reg=0x00
2026-09-20T09:41:49.730Z CPU0: PCI: read request for device 'ti2050b' at pc=0x60286174: bus=0,device=4,function=0,reg=0x00
2026-09-20T09:41:49.730Z CPU0: PCI: read request for device 'ti2050b' at pc=0x60286170: bus=0,device=4,function=0,reg=0x40
2026-09-20T09:41:49.730Z CPU0: PCI: read request for device 'ti2050b' at pc=0x60286174: bus=0,device=4,function=0,reg=0x40
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0xffff0000) for device 'ti2050b' at pc=0x6028603c: bus=0,device=4,function=0,reg=0x04
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0xffff0000) for device 'ti2050b' at pc=0x60286048: bus=0,device=4,function=0,reg=0x04
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x0000f810) for device 'ti2050b' at pc=0x6028603c: bus=0,device=4,function=0,reg=0x0c
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x0000f810) for device 'ti2050b' at pc=0x60286048: bus=0,device=4,function=0,reg=0x0c
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x00100d00) for device 'ti2050b' at pc=0x6028603c: bus=0,device=4,function=0,reg=0x18
2026-09-20T09:41:49.730Z PCI: PCI bridge 0,4,0 -> pri: 00, sec: 13, sub: 16
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x00100d00) for device 'ti2050b' at pc=0x60286048: bus=0,device=4,function=0,reg=0x18
2026-09-20T09:41:49.730Z PCI: PCI bridge 0,4,0 -> pri: 00, sec: 13, sub: 16
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x0280bfa0) for device 'ti2050b' at pc=0x6028603c: bus=0,device=4,function=0,reg=0x1c
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x0280bfa0) for device 'ti2050b' at pc=0x60286048: bus=0,device=4,function=0,reg=0x1c
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x4ef04e80) for device 'ti2050b' at pc=0x6028603c: bus=0,device=4,function=0,reg=0x20
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x4ef04e80) for device 'ti2050b' at pc=0x60286048: bus=0,device=4,function=0,reg=0x20
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x00014e81) for device 'ti2050b' at pc=0x6028603c: bus=0,device=4,function=0,reg=0x24
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x00014e81) for device 'ti2050b' at pc=0x60286048: bus=0,device=4,function=0,reg=0x24
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x00200020) for device 'ti2050b' at pc=0x6028603c: bus=0,device=4,function=0,reg=0x30
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x00200020) for device 'ti2050b' at pc=0x60286048: bus=0,device=4,function=0,reg=0x30
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x03000000) for device 'ti2050b' at pc=0x6028603c: bus=0,device=4,function=0,reg=0x3c
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x03000000) for device 'ti2050b' at pc=0x60286048: bus=0,device=4,function=0,reg=0x3c
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x6028603c: bus=0,device=4,function=0,reg=0x40
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x60286048: bus=0,device=4,function=0,reg=0x40
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x6028603c: bus=0,device=4,function=0,reg=0x64
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x60286048: bus=0,device=4,function=0,reg=0x64
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x6028603c: bus=0,device=4,function=0,reg=0x68
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x60286048: bus=0,device=4,function=0,reg=0x68
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x00000007) for device 'ti2050b' at pc=0x6028603c: bus=0,device=4,function=0,reg=0x04
2026-09-20T09:41:49.730Z CPU0: PCI: write request (data=0x00000007) for device 'ti2050b' at pc=0x60286048: bus=0,device=4,function=0,reg=0x04
